country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,interm,1,39,3.27,0,0,0,0.01,0.05,0.06,0,0.05,0.04,0.01,0.02,0.02,0.02,0.56,0.53,0.56,0.53,0.41,0.4,.,.,.,.,.,.
LTU,1956,1,interm,1,40,10.15,0,0,0,0.1,0.45,1.51,0.06,1.19,1.1,1.03,1.8,0.91,0.98,0.19,0.18,0.19,0.18,0.14,0.14,.,.,.,.,.,.
LTU,1956,1,interm,1,41,0.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.02,0.04,0.02,0.02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,.,.,.,.,.,.
LTU,1956,1,interm,1,42,4.2,0.18,0.01,0,0.12,0.5,0.62,0,0.48,0.44,0.16,0.28,0.19,0.21,0.19,0.18,0.19,0.18,0.14,0.13,.,.,.,.,.,.
LTU,1956,1,interm,1,43,25.11,7.58,0.61,0.57,0.51,0.23,0.5,1.63,1.59,1.47,1.48,2.6,1.33,1.43,0.67,0.64,0.68,0.63,0.49,0.48,.,.,.,.,.,.
LTU,1956,1,interm,1,44,1.79,0,0,0,0,0,0.02,0.08,0.07,0.07,0.07,0.12,0.05,0.06,0.24,0.22,0.24,0.22,0.17,0.17,.,.,.,.,.,.
LTU,1956,1,interm,1,45,5.27,1.27,0.1,0.1,0.09,0.04,0.06,0.24,0.23,0.21,0.21,0.37,0.17,0.19,0.37,0.36,0.38,0.35,0.27,0.26,.,.,.,.,.,.
LTU,1956,1,interm,1,46,35.42,1.99,0.74,1.28,1.15,0.78,0,3.47,3.01,2.78,3.07,5.37,1.9,2.05,1.47,1.4,1.47,1.38,1.07,1.05,.,.,.,.,.,.
LTU,1956,1,interm,1,47,58.88,21.25,3.46,2.53,1.96,1.77,1.94,1.72,2.21,2.04,1.76,3.08,2.2,2.38,1.94,1.85,1.95,1.9,1.47,1.45,.,.,.,.,.,.
LTU,1956,1,interm,1,48,179.48,0,0,3.39,7.36,7.91,9.98,11.73,9.08,8.39,7.84,13.74,18.41,19.87,11.57,11,11.62,10.9,8.41,8.28,.,.,.,.,.,.
LTU,1956,1,interm,1,49,131.69,0,0,0,0,0,0,0.96,1.08,0.99,2.24,3.96,6.55,7.07,20.28,19.35,20.43,19.26,14.87,14.66,.,.,.,.,.,.
LTU,1956,1,interm,1,50,41.51,0,0,0,0,0,1.16,0.08,0.16,0.15,1.66,2.89,5.46,5.89,4.54,4.3,4.54,4.23,3.26,3.2,.,.,.,.,.,.
LTU,1956,1,interm,1,51,119.65,0,0,0,0,0,0.5,0.48,2.3,2.12,4.19,7.34,9.77,10.54,15.43,14.67,15.49,14.54,11.22,11.05,.,.,.,.,.,.
LTU,1956,1,interm,1,52,734.55,0,0,0,0,0,1.58,2.22,4.47,4.13,13.35,23.34,44.33,47.82,111.21,105.69,111.55,104.65,80.73,79.47,.,.,.,.,.,.
LTU,1956,1,interm,1,53,218.46,0,0,0,0,0,0.2,0.27,0.83,0.77,2.55,4.46,6.57,7.09,36.68,34.86,36.79,34.52,26.63,26.22,.,.,.,.,.,.
LTU,1956,1,interm,1,54,39.32,0,0.11,0.22,0.62,1.32,0.41,0.62,0.82,0.75,1.19,2.08,2.95,3.19,4.68,4.45,4.7,4.42,3.41,3.35,.,.,.,.,.,.
LTU,1956,1,interm,1,55,20.8,0,0.02,0.19,0.42,0.56,0.47,0.64,0.49,0.45,0.54,0.94,1.69,1.82,2.28,2.16,2.4,2.28,1.75,1.71,.,.,.,.,.,.
LTU,1956,1,interm,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,57,29.7,0,0.12,0.24,0.68,1.45,0.45,0.68,0.89,0.83,1.3,2.28,3.23,3.49,2.63,2.5,2.64,2.48,1.91,1.88,.,.,.,.,.,.
LTU,1956,1,interm,1,58,68.53,0,0.28,0.56,1.57,3.34,1.09,1.64,2.21,2.04,3.45,6.04,8.85,9.55,5.23,4.97,5.25,4.93,3.8,3.74,.,.,.,.,.,.
LTU,1956,1,interm,1,59,110.12,0,0,0,0,0,0.81,1.99,2.34,2.16,6.2,10.85,23.77,25.64,6.8,6.47,6.83,6.42,4.95,4.88,.,.,.,.,.,.
LTU,1956,1,interm,1,60,207.64,0,0,0,0,0,0.49,1.21,1.43,1.32,3.78,6.62,14.5,15.64,30.44,28.95,30.57,28.71,22.15,21.81,.,.,.,.,.,.
