country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
BLR,1978,1,belarus,1,204,0,3,0,0,0,0,0,0,0,3,3,8,7,19,8,21,17,34,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,205,14,3,0,3,2,7,6,4,21,12,21,31,67,47,41,31,50,34,98,.,.,.,.,.,.
BLR,1978,1,belarus,1,206,0,0,0,0,0,0,0,0,0,0,0,0,20,113,179,269,855,609,886,.,.,.,.,.,.
BLR,1978,1,belarus,1,207,0,3,0,0,0,0,0,0,0,0,6,0,13,9,0,10,34,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,219,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,220,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,221,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,222,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,223,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,224,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,225,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,226,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,227,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,228,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,229,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,230,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,231,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,232,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,235,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,237,190,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,238,95,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,239,68,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,240,2301,91,14,13,9,12,6,12,3,9,15,4,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,241,460,21,3,3,2,5,3,4,0,0,3,4,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,242,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,243,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,244,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,246,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,247,352,10,3,3,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,248,338,10,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,249,609,14,3,3,2,2,0,0,3,3,3,0,7,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,250,406,10,3,3,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,251,135,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,252,135,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,254,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,256,0,0,3,3,11,27,22,24,24,22,15,16,20,9,8,10,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,257,14,7,45,18,26,62,84,60,76,65,95,86,107,122,81,145,134,135,295,.,.,.,.,.,.
BLR,1978,1,belarus,1,258,0,7,25,10,15,37,47,32,45,37,55,51,67,66,49,83,84,68,147,.,.,.,.,.,.
BLR,1978,1,belarus,1,259,0,3,11,10,51,123,103,104,107,102,73,70,94,56,41,31,34,34,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,260,14,7,20,21,93,224,195,196,207,189,137,133,168,104,73,72,50,34,49,.,.,.,.,.,.
BLR,1978,1,belarus,1,261,0,0,3,3,13,32,28,28,28,28,18,20,27,19,8,10,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,262,14,0,6,5,26,59,70,72,69,80,79,98,87,75,65,72,117,169,295,.,.,.,.,.,.
BLR,1978,1,belarus,1,263,14,14,20,10,24,76,92,84,124,105,91,114,134,179,122,72,50,101,98,.,.,.,.,.,.
BLR,1978,1,belarus,1,264,0,94,101,89,124,214,251,208,231,260,174,149,174,151,114,114,134,68,295,.,.,.,.,.,.
BLR,1978,1,belarus,1,265,365,21,11,5,13,25,45,84,100,84,73,110,94,47,32,31,34,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,266,0,3,6,16,26,54,56,76,66,40,27,8,34,9,0,21,17,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,268,41,56,8,10,4,15,47,56,48,49,43,39,47,56,65,52,50,237,147,.,.,.,.,.,.
